,Bedroom,Bathroom,Super_area,Carpet_area,Furnished_status,Water_availability,Locality,Age_of_construction,Facing,Tenant,Owner,Floor,Security_deposit,Availability_status,Overlooking,Monthly_charges,Brokerage,Rent,covered_parking,open_parking
12,3.0,2,1296.0,950.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,North - East,Family,Agent,12.0,200000,Immediately Available,Garden/Park,0,46000,46000,1,0
13,2.0,2,1160.0,740.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,East,Family / Bachelors ,Agent,12.0,150000,Immediately Available,Garden/Park,0,35000,35000,1,0
14,2.0,2,900.0,630.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,North - East,Family / Bachelors ,Owner,2.0,0,Immediately Not Available,Garden/Park,0,0,35000,0,0
15,1.0,1,600.0,400.0,Semi-Furnished,24 Hours Available,Mulund,Above 20 years,East,Family / Bachelors ,Owner,3.0,100000,Immediately Available,Garden/Park,0,0,19000,0,0
16,2.0,2,1050.0,780.0,Unfurnished,24 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,11.0,100000,Immediately Available,Garden/Park,0,30000,30000,1,0
17,1.0,1,610.0,435.0,Furnished,12 Hours Available,Mulund,Less than 5 years,East,Bachelors,Agent,13.0,150000,Immediately Not Available,Pool,3350,22499,26999,0,0
18,2.0,2,950.0,730.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Bachelors,Agent,25.0,200000,Immediately Available,Main Road,0,45000,45000,1,0
19,2.0,2,1165.0,760.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Family,Agent,7.0,200000,Immediately Available,Main Road,1,40000,40000,1,0
20,2.0,2,981.0,723.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,North - East,Family / Bachelors ,Owner,12.0,0,Immediately Available,Garden/Park,0,0,44000,1,0
21,2.0,3,1500.0,1300.0,Unfurnished,24 Hours Available,Mulund,Above 20 years,South -West,Family / Bachelors ,Owner,0.0,0,Immediately Available,Main Road,0,0,50000,0,2
22,3.0,3,1560.0,914.0,Unfurnished,24 Hours Available,Mulund,New Construction,West,Bachelors,Owner,19.0,10000,Immediately Available,Main Road,0,0,51500,1,0
23,3.0,3,1002.0,720.0,Unfurnished,24 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,10.0,150000,Immediately Available,Garden/Park,0,35000,35000,0,0
24,2.0,2,772.0,572.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,West,Bachelors,Owner,10.0,0,Immediately Available,Garden/Park,0,0,36000,1,0
25,1.0,2,620.0,475.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,South,Family / Bachelors ,Owner,15.0,150000,Immediately Available,Garden/Park,0,0,25000,0,1
26,3.0,2,1400.0,1300.0,Semi-Furnished,12 Hours Available,Mulund,5 to 10 years,Not Mentioned,Family / Bachelors ,Owner,17.0,150000,Immediately Not Available,Not Mentioned,5000,0,42500,0,0
27,2.0,2,804.0,650.0,Semi-Furnished,24 Hours Available,Mulund,Above 20 years,East,Family / Bachelors ,Owner,6.0,100000,Immediately Not Available,Not Mentioned,0,0,34500,0,1
28,1.0,2,650.0,450.0,Furnished,24 Hours Available,Mulund,5 to 10 years,East,Family,Agent,3.0,150000,Immediately Available,Garden/Park,4000,27000,27000,0,1
29,2.0,2,1100.0,850.0,Furnished,24 Hours Available,Mulund,15 to 20 years,East,Bachelors,Agent,10.0,250000,Immediately Available,Pool,4500,43000,43000,1,0
30,3.0,3,1200.0,750.0,Semi-Furnished,24 Hours Available,Mulund,Above 20 years,North - West,Family / Bachelors ,Owner,7.0,0,Immediately Available,Main Road,0,0,39000,0,1
31,2.0,2,770.0,650.0,Unfurnished,12 Hours Available,Mulund,5 to 10 years,North,Bachelors,Owner,1.0,150000,Immediately Not Available,Garden/Park,0,0,31000,0,0
32,1.0,1,390.0,300.0,Unfurnished,24 Hours Available,Mulund,Above 20 years,Not Mentioned,Family,Owner,2.0,60000,Immediately Available,Garden/Park,0,0,17500,0,0
33,2.0,2,1200.0,850.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,East,Family,Agent,2.0,200000,Immediately Available,Garden/Park,0,18500,37000,1,0
34,1.0,1,425.0,425.0,Unfurnished,12 Hours Available,Mulund,Above 20 years,East,Bachelors,Owner,4.0,50000,Immediately Available,Garden/Park,500,0,15000,0,0
35,1.0,2,500.0,425.0,Semi-Furnished,24 Hours Available,Mulund,Above 20 years,West,Bachelors,Owner,2.0,100000,Immediately Available,Garden/Park,0,0,18000,0,1
36,2.0,1,680.0,430.0,Unfurnished,12 Hours Available,Mulund,5 to 10 years,East,Bachelors,Agent,6.0,160000,Immediately Not Available,Garden/Park,0,26000,26000,0,0
37,4.0,3,1620.0,1300.0,Furnished,24 Hours Available,Mulund,10 to 15 years,North - East,Family / Bachelors ,Owner,20.0,0,Immediately Available,Not Mentioned,0,0,70000,0,1
38,2.0,2,1165.0,732.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Bachelors,Agent,20.0,200000,Immediately Available,Main Road,1,42000,42000,1,0
39,1.0,1,650.0,480.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,Not Mentioned,Family,Agent,7.0,125000,Immediately Available,Not Mentioned,2000,23000,23000,0,0
40,1.0,1,520.0,430.0,Semi-Furnished,24 Hours Available,Mulund,15 to 20 years,Not Mentioned,Family,Agent,1.0,100000,Immediately Available,Main Road,3000,22000,22000,0,0
41,3.0,3,781.0,781.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,9.0,250000,Immediately Available,Garden/Park,0,40000,40000,1,0
42,2.0,2,1050.0,685.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,West,Family / Bachelors ,Agent,6.0,200000,Immediately Available,Garden/Park,3000,35000,35000,1,0
43,1.0,2,270.0,270.0,Unfurnished,12 Hours Available,Mulund,New Construction,North - East,Bachelors,Agent,9.0,100000,Immediately Not Available,Garden/Park,0,16000,16000,0,0
44,3.0,3,1750.0,1234.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,East,Family / Bachelors ,Agent,12.0,300000,Immediately Available,Not Mentioned,10000,0,50000,1,0
45,2.0,2,800.0,800.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,East,Family / Bachelors ,Agent,10.0,200000,Immediately Available,Garden/Park,0,37000,37000,0,1
46,2.0,2,950.0,650.0,Unfurnished,24 Hours Available,Mulund,5 to 10 years,East,Bachelors,Agent,6.0,150000,Immediately Available,Garden/Park,1,35000,35000,0,1
47,3.0,3,1140.0,637.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,10.0,200000,Immediately Available,Garden/Park,1000,47000,47000,1,0
48,3.0,3,1000.0,800.0,Semi-Furnished,12 Hours Available,Mulund,Above 20 years,North - East,Bachelors,Agent,5.0,0,Immediately Not Available,Garden/Park,0,0,40000,0,0
49,2.0,2,1125.0,745.0,Unfurnished,12 Hours Available,Mulund,Less than 5 years,North,Family / Bachelors ,Agent,9.0,200000,Immediately Not Available,Garden/Park,0,40000,40000,0,0
50,2.0,2,1020.0,675.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,East,Family / Bachelors ,Agent,14.0,100000,Immediately Not Available,Garden/Park,0,35000,35000,0,0
51,2.0,2,1165.0,750.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Agent,32.0,200000,Immediately Available,Main Road,0,0,45000,1,0
52,1.0,2,620.0,416.0,Furnished,24 Hours Available,Mulund,10 to 15 years,East,Bachelors,Agent,7.0,150000,Immediately Available,Not Mentioned,0,28000,28000,0,0
53,2.0,2,880.0,600.0,Unfurnished,12 Hours Available,Mulund,New Construction,East,Family,Agent,10.0,150000,Immediately Not Available,Garden/Park,0,33000,33000,0,0
54,3.0,3,1500.0,1100.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - West,Family,Agent,7.0,250000,Immediately Available,Main Road,0,0,50000,1,0
55,3.0,3,1848.0,1320.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Family,Agent,22.0,250000,Immediately Available,Garden/Park,0,0,75000,1,0
56,3.0,3,1848.0,1320.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Family,Agent,18.0,250000,Immediately Available,Garden/Park,0,0,75000,1,0
57,4.0,3,2000.0,1500.0,Furnished,24 Hours Available,Mulund,15 to 20 years,East,Bachelors,Agent,6.0,350000,Immediately Available,Garden/Park,10000,68000,68000,2,0
58,3.0,2,1285.0,831.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,East,Bachelors,Agent,7.0,200000,Immediately Available,Garden/Park,0,48000,48000,1,0
59,1.0,1,550.0,745.5711920529801,Unfurnished,24 Hours Available,Mulund,10 to 15 years,North - East,Family / Bachelors ,Agent,4.0,0,Immediately Available,Main Road,0,0,22000,0,0
60,2.0,2,1150.0,700.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,East,Family,Agent,15.0,200000,Immediately Available,Garden/Park,0,40000,40000,1,0
61,2.0,2,1100.0,680.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,North - West,Bachelors,Agent,7.0,200000,Immediately Available,Main Road,0,0,37600,0,0
62,2.0,2,980.0,635.0,Semi-Furnished,12 Hours Available,Mulund,15 to 20 years,North - East,Bachelors,Agent,4.0,150000,Immediately Not Available,Main Road,4500,35000,35000,0,0
63,1.0,2,720.0,480.0,Unfurnished,24 Hours Available,Mulund,Above 20 years,East,Family / Bachelors ,Agent,7.0,100000,Immediately Not Available,Main Road,0,25000,25000,0,1
64,2.0,2,700.0,577.0,Unfurnished,24 Hours Available,Mulund,New Construction,South - East,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,0,32000,32000,3,0
65,3.0,3,1296.0,960.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,Not Mentioned,Family,Agent,7.0,250000,Immediately Available,Garden/Park,0,47000,47000,1,0
66,4.0,4,2100.0,1800.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family,Agent,22.0,450000,Immediately Available,Garden/Park,2000,74000,74000,1,0
67,3.0,3,1200.0,900.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,Not Mentioned,Family / Bachelors ,Agent,6.0,250000,Immediately Not Available,Not Mentioned,0,0,45000,0,0
68,1.0,2,650.0,495.0,Semi-Furnished,24 Hours Available,Mulund,15 to 20 years,East,Family / Bachelors ,Owner,6.0,100000,Immediately Available,Main Road,0,0,24000,0,0
69,2.0,2,775.0,620.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,East,Bachelors,Agent,3.0,150000,Immediately Available,Garden/Park,3000,30000,30000,0,1
70,1.0,1,550.0,400.0,Unfurnished,24 Hours Available,Mulund,Above 20 years,North,Family / Bachelors ,Agent,2.0,100000,Immediately Available,Not Mentioned,3000,22000,22000,0,0
71,2.0,2,960.0,699.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,North,Bachelors,Agent,9.0,150000,Immediately Available,Garden/Park,1,32000,32000,0,1
72,2.0,2,1000.0,680.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,North - East,Bachelors,Agent,19.0,150000,Immediately Not Available,Main Road,0,36000,36000,0,0
73,3.0,3,1600.0,1080.0,Unfurnished,12 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,15.0,200000,Immediately Not Available,Main Road,0,55000,55000,0,0
74,2.0,2,1165.0,732.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Bachelors,Agent,20.0,200000,Immediately Available,Main Road,1,42000,42000,1,0
75,2.0,2,1211.0,734.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,29.0,200000,Immediately Available,Garden/Park,0,0,44001,1,0
76,3.0,3,2090.0,1237.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Agent,23.0,200000,Immediately Available,Garden/Park,0,63001,63001,1,0
77,4.0,5,2250.0,1890.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,East,Family,Agent,22.0,500000,Immediately Available,Garden/Park,35000,80000,80000,3,0
78,2.0,2,1000.0,778.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,21.0,200000,Immediately Available,Garden/Park,0,42000,42000,1,0
79,2.0,2,1350.0,663.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,14.0,200000,Immediately Available,Garden/Park,0,40000,40000,1,0
80,3.0,2,1200.0,975.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,West,Family,Agent,12.0,250000,Immediately Available,Garden/Park,0,39000,39000,1,1
81,2.0,2,969.0,690.0,Unfurnished,12 Hours Available,Mulund,5 to 10 years,North,Bachelors,Agent,2.0,150000,Immediately Not Available,Main Road,1,32500,32500,0,0
82,3.0,3,1000.0,1030.0,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Agent,7.0,100000,Immediately Not Available,Main Road,0,29000,29000,0,0
83,2.0,2,1040.0,668.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,East,Bachelors,Agent,16.0,200000,Immediately Not Available,Garden/Park,5500,38000,38000,0,0
84,4.0,6,2850.0,2160.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Bachelors,Agent,7.0,450000,Immediately Available,Not Mentioned,0,80000,80000,2,0
85,1.0,2,650.0,420.0,Unfurnished,24 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,10.0,100000,Immediately Available,Garden/Park,0,25000,25000,0,0
86,2.0,2,1050.0,732.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Agent,14.0,200000,Immediately Available,Garden/Park,0,41000,41000,1,0
87,2.0,2,1000.0,745.5711920529801,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,1.0,0,Immediately Not Available,Not Mentioned,0,0,34933,0,0
88,3.0,2,800.0,745.5711920529801,Semi-Furnished,24 Hours Available,Mulund,15 to 20 years,Not Mentioned,Family / Bachelors ,Owner,1.0,0,Immediately Available,Main Road,0,0,24000,0,1
89,1.0,1,400.0,745.5711920529801,Unfurnished,12 Hours Available,Mulund,5 to 10 years,Not Mentioned,Bachelors,Owner,1.0,0,Immediately Not Available,Main Road,0,0,15000,0,0
90,2.0,2,1100.0,700.0,Unfurnished,12 Hours Available,Mulund,New Construction,North - East,Bachelors,Agent,7.0,150000,Immediately Not Available,Garden/Park,0,36000,36000,0,0
91,4.0,3,2534.0,1810.0,Unfurnished,24 Hours Available,Mulund,New Construction,North - West,Bachelors,Agent,32.0,500000,Immediately Available,Garden/Park,0,85000,85000,1,0
92,2.0,2,1040.0,730.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,East,Family,Agent,12.0,200000,Immediately Available,Main Road,0,37000,37000,1,0
93,3.0,3,1500.0,1300.0,Furnished,24 Hours Available,Mulund,5 to 10 years,East,Family / Bachelors ,Agent,7.0,500000,Immediately Available,Pool,0,88000,88000,0,1
94,2.0,2,1165.0,785.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,West,Family,Agent,8.0,200000,Immediately Available,Main Road,1,40000,40000,1,0
95,2.0,2,875.0,650.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,West,Family,Agent,5.0,200000,Immediately Available,Main Road,1,33000,33000,0,0
96,4.0,4,1150.0,950.0,Furnished,24 Hours Available,Mulund,10 to 15 years,North - West,Family / Bachelors ,Owner,10.0,0,Immediately Available,Garden/Park,0,0,60000,0,1
97,2.0,2,950.0,685.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,34.0,100000,Immediately Available,Pool,0,39000,39000,1,0
98,1.0,2,699.0,500.0,Furnished,24 Hours Available,Mulund,5 to 10 years,North,Bachelors,Agent,2.0,150000,Immediately Available,Garden/Park,1,30500,30500,0,1
99,3.0,3,1650.0,981.0,Unfurnished,24 Hours Available,Mulund,New Construction,North - East,Family,Agent,18.0,300000,Immediately Available,Garden/Park,8000,0,55000,1,0
100,2.0,2,1020.0,840.0,Unfurnished,12 Hours Available,Mulund,Less than 5 years,South,Bachelors,Owner,9.0,200000,Immediately Not Available,Garden/Park,0,0,57000,0,0
101,3.0,3,1000.0,1100.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,West,Bachelors,Owner,25.0,0,Immediately Not Available,Garden/Park,0,0,41000,0,0
102,2.0,2,1000.0,739.0,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,East,Bachelors,Agent,7.0,200000,Immediately Not Available,Pool,0,39000,39000,0,0
103,2.0,2,900.0,692.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,North - East,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,0,37000,37000,0,1
104,3.0,3,1000.0,925.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family,Agent,22.0,100000,Immediately Available,Main Road,25000,50000,50000,0,1
105,3.0,2,1300.0,920.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family,Agent,26.0,250000,Immediately Available,Main Road,0,48000,48000,1,0
106,3.0,3,1100.0,981.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,North - East,Family / Bachelors ,Agent,15.0,150000,Immediately Available,Garden/Park,10,55000,55000,2,0
107,1.0,2,715.0,430.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,East,Bachelors,Agent,13.0,100000,Immediately Available,Garden/Park,0,0,24000,0,1
108,1.0,2,1000.0,550.0,Unfurnished,12 Hours Available,Mulund,New Construction,East,Bachelors,Agent,1.0,125000,Immediately Not Available,Garden/Park,0,23000,23000,0,0
109,2.0,2,710.0,700.0,Furnished,24 Hours Available,Mulund,10 to 15 years,East,Family,Agent,6.0,200000,Immediately Available,Main Road,7000,40000,40000,0,1
110,2.0,2,1000.0,600.0,Unfurnished,12 Hours Available,Mulund,New Construction,East,Family / Bachelors ,Agent,12.0,200000,Immediately Not Available,Main Road,0,0,35000,0,0
111,1.0,1,600.0,480.0,Semi-Furnished,24 Hours Available,Mulund,10 to 15 years,Not Mentioned,Bachelors,Agent,4.0,150000,Immediately Available,Not Mentioned,0,25000,25000,0,1
112,2.0,2,1165.0,732.0,Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Family / Bachelors ,Agent,12.0,200000,Immediately Available,Main Road,0,40000,40000,1,0
113,2.0,2,960.0,650.0,Unfurnished,24 Hours Available,Mulund,5 to 10 years,East,Bachelors,Agent,10.0,150000,Immediately Available,Main Road,1,32000,32000,0,1
114,2.0,2,1000.0,700.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Agent,15.0,200000,Immediately Available,Garden/Park,0,0,40000,1,0
115,1.0,2,650.0,450.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,North,Family,Agent,6.0,200000,Immediately Available,Garden/Park,4500,27000,27000,0,0
116,2.0,2,910.0,750.0,Furnished,24 Hours Available,Mulund,10 to 15 years,South -West,Family / Bachelors ,Agent,6.0,200000,Immediately Not Available,Garden/Park,0,0,45000,0,1
117,3.0,3,1250.0,900.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North,Bachelors,Agent,7.0,250000,Immediately Available,Garden/Park,0,45000,45000,0,0
118,3.0,3,1848.0,1320.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Family,Agent,22.0,250000,Immediately Available,Garden/Park,0,0,75000,1,0
119,3.0,2,1092.0,780.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Agent,7.0,150000,Immediately Available,Garden/Park,0,0,45000,1,0
120,2.0,2,980.0,650.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,West,Family,Agent,4.0,200000,Immediately Available,Main Road,6500,60000,40000,0,1
121,1.0,2,700.0,400.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,North,Bachelors,Agent,7.0,100000,Immediately Available,Main Road,0,20000,20000,1,1
122,2.0,2,1165.0,732.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - West,Bachelors,Agent,7.0,200000,Immediately Available,Main Road,0,42000,42000,1,0
123,3.0,3,2170.0,1300.0,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,East,Family,Agent,15.0,500000,Immediately Available,Garden/Park,0,85000,85000,2,0
124,3.0,2,1475.0,925.0,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,North,Bachelors,Agent,20.0,250000,Immediately Not Available,Pool,0,52000,52000,0,0
125,2.0,2,1200.0,740.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,North - East,Family / Bachelors ,Agent,30.0,200000,Immediately Not Available,Main Road,10,41000,41000,0,0
126,3.0,3,1510.0,980.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,East,Family / Bachelors ,Agent,24.0,300000,Immediately Available,Not Mentioned,0,54000,54000,0,1
127,2.0,2,1165.0,732.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family,Agent,26.0,250000,Immediately Available,Main Road,4000,0,43000,1,0
128,3.0,2,1200.0,763.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,North - West,Bachelors,Agent,7.0,225000,Immediately Available,Not Mentioned,0,0,45000,1,0
129,3.0,2,1092.0,780.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - West,Bachelors,Agent,7.0,200000,Immediately Available,Main Road,0,0,42000,1,0
130,2.0,2,1010.0,663.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Family,Agent,17.0,200000,Immediately Available,Main Road,1,39000,39000,1,0
131,3.0,3,1500.0,1100.0,Furnished,12 Hours Available,Mulund,5 to 10 years,East,Bachelors,Agent,5.0,250000,Immediately Not Available,Garden/Park,0,55000,55000,0,0
132,2.0,2,1165.0,732.0,Unfurnished,24 Hours Available,Mulund,Less than 5 years,North - West,Bachelors,Agent,7.0,200000,Immediately Available,Main Road,0,42000,42000,1,0
133,3.0,2,1240.0,880.0,Unfurnished,12 Hours Available,Mulund,New Construction,North,Family / Bachelors ,Agent,35.0,300000,Immediately Not Available,Main Road,0,45000,45000,0,0
134,2.0,2,890.0,610.0,Unfurnished,12 Hours Available,Mulund,New Construction,East,Bachelors,Agent,9.0,125000,Immediately Not Available,Main Road,1,30000,30000,0,0
135,3.0,3,1500.0,1100.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - West,Bachelors,Agent,7.0,250000,Immediately Available,Main Road,0,0,46000,1,0
136,3.0,2,1295.0,925.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Family,Agent,7.0,300000,Immediately Available,Main Road,12000,0,48000,1,0
137,3.0,3,1450.0,995.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,North - East,Bachelors,Agent,7.0,300000,Immediately Available,Not Mentioned,0,50000,50000,0,0
138,2.0,2,1165.0,750.0,Unfurnished,24 Hours Available,Mulund,New Construction,East,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,0,45000,45000,1,0
139,3.0,2,1300.0,900.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - West,Bachelors,Agent,7.0,200000,Immediately Available,Garden/Park,0,0,48000,1,0
140,3.0,3,1910.0,1370.0,Unfurnished,24 Hours Available,Mulund,New Construction,South -West,Family / Bachelors ,Agent,7.0,450000,Immediately Available,Main Road,0,0,75000,1,1
141,2.0,2,1200.0,750.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,East,Bachelors,Agent,7.0,200000,Immediately Available,Main Road,0,0,39000,0,0
142,3.0,3,1296.0,745.5711920529801,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,Not Mentioned,Family,Agent,7.0,250000,Immediately Available,Garden/Park,0,45000,45000,1,0
143,2.0,2,914.0,665.0,Semi-Furnished,24 Hours Available,Mulund,5 to 10 years,East,Family / Bachelors ,Agent,27.0,200000,Immediately Available,Garden/Park,0,40000,40000,1,0
144,2.0,2,1100.0,630.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Bachelors,Agent,7.0,150000,Immediately Available,Not Mentioned,0,0,39000,1,0
145,2.0,2,1100.0,700.0,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,North,Family / Bachelors ,Agent,28.0,200000,Immediately Not Available,Main Road,1,40000,40000,0,0
146,1.0,2,600.0,430.0,Unfurnished,12 Hours Available,Mulund,5 to 10 years,East,Bachelors,Agent,3.0,150000,Immediately Not Available,Garden/Park,0,31000,31000,0,0
147,1.0,2,600.0,450.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,East,Bachelors,Agent,18.0,100000,Immediately Not Available,Main Road,0,27000,27000,0,0
148,3.0,3,1040.0,774.0,Unfurnished,24 Hours Available,Mulund,New Construction,East,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,0,42000,42000,1,0
149,2.0,1,1000.0,660.0,Furnished,24 Hours Available,Mulund,Above 20 years,Not Mentioned,Family / Bachelors ,Owner,4.0,150000,Immediately Available,Not Mentioned,0,0,30000,0,0
